Index,L,TA,AOC,PD,TFMV,B,OCAP,DA,WCC,AT,R,AA,M,A
L,18125.0,33046.0,21295.0,12249.0,11409.0,6319.0,5818.0,8877.0,2108.0,7038.0,1630.0,3017.0,49.0,136.0
TA,32899.0,88575.0,51031.0,28240.0,27530.0,16513.0,12010.0,17870.0,4922.0,18434.0,3537.0,6081.0,129.0,331.0
AOC,21786.0,51570.0,50576.0,22170.0,17091.0,9917.0,10540.0,17427.0,3006.0,12614.0,2796.0,5456.0,107.0,346.0
PD,12183.0,28252.0,22736.0,12869.0,10747.0,6084.0,5908.0,8062.0,1905.0,7109.0,1595.0,2863.0,85.0,92.0
TFMV,11417.0,27561.0,17025.0,11004.0,11424.0,6314.0,4444.0,6244.0,1655.0,6899.0,1272.0,2317.0,56.0,126.0
B,6273.0,16296.0,10401.0,6353.0,6470.0,3842.0,2641.0,3396.0,1038.0,3818.0,692.0,1271.0,28.0,68.0
OCAP,5807.0,12023.0,10876.0,5675.0,4583.0,2663.0,2989.0,3990.0,768.0,2877.0,740.0,1421.0,22.0,88.0
DA,8467.0,17610.0,17043.0,8556.0,6173.0,3648.0,4088.0,9215.0,1131.0,4217.0,1176.0,2191.0,28.0,70.0
WCC,2124.0,5083.0,3062.0,1681.0,1664.0,1110.0,809.0,1089.0,356.0,1146.0,198.0,345.0,1.0,33.0
AT,7077.0,18022.0,12483.0,7040.0,6931.0,4086.0,3086.0,4220.0,1269.0,5209.0,799.0,1600.0,25.0,86.0
R,1672.0,3416.0,2986.0,1490.0,1255.0,698.0,739.0,1133.0,186.0,865.0,189.0,318.0,4.0,41.0
AA,2948.0,6212.0,5520.0,2928.0,2293.0,1309.0,1370.0,1973.0,323.0,1622.0,363.0,758.0,27.0,41.0
M,68.0,132.0,103.0,76.0,49.0,34.0,32.0,19.0,0.0,22.0,5.0,20.0,0.0,0.0
A,166.0,274.0,271.0,187.0,136.0,62.0,75.0,81.0,21.0,107.0,29.0,46.0,0.0,10.0
