Index,L,TA,AOC,PD,TFMV,B,OCAP,DA,WCC,AT,R,AA,M,A
L,6017.0,11171.0,7218.0,4148.0,3682.0,2091.0,1902.0,2788.0,649.0,2382.0,527.0,930.0,13.0,46.0
TA,11115.0,30397.0,17703.0,9464.0,9406.0,5629.0,4093.0,5970.0,1652.0,6362.0,1189.0,2058.0,51.0,119.0
AOC,7348.0,17541.0,17205.0,7462.0,5807.0,3431.0,3504.0,5836.0,970.0,4364.0,959.0,1757.0,42.0,97.0
PD,4094.0,9664.0,7386.0,4225.0,3517.0,2036.0,1881.0,2595.0,604.0,2399.0,499.0,919.0,23.0,44.0
TFMV,3731.0,9295.0,5822.0,3683.0,3663.0,2118.0,1425.0,2003.0,584.0,2396.0,433.0,737.0,18.0,39.0
B,2148.0,5642.0,3431.0,2036.0,2078.0,1273.0,858.0,1157.0,342.0,1282.0,239.0,445.0,13.0,20.0
OCAP,1906.0,4137.0,3463.0,1755.0,1509.0,885.0,876.0,1339.0,256.0,1006.0,258.0,460.0,7.0,20.0
DA,2684.0,5964.0,5722.0,2689.0,2062.0,1186.0,1338.0,2874.0,354.0,1371.0,377.0,729.0,9.0,34.0
WCC,692.0,1645.0,1028.0,582.0,570.0,328.0,263.0,339.0,122.0,396.0,69.0,127.0,3.0,3.0
AT,2338.0,6316.0,4315.0,2373.0,2360.0,1317.0,1041.0,1428.0,434.0,1787.0,281.0,544.0,8.0,27.0
R,535.0,1148.0,1045.0,463.0,412.0,223.0,242.0,362.0,86.0,299.0,65.0,127.0,0.0,17.0
AA,881.0,2131.0,1838.0,930.0,819.0,424.0,429.0,663.0,107.0,497.0,123.0,239.0,1.0,13.0
M,19.0,49.0,40.0,22.0,11.0,5.0,11.0,8.0,0.0,12.0,1.0,10.0,0.0,0.0
A,51.0,99.0,98.0,58.0,45.0,22.0,22.0,31.0,5.0,25.0,7.0,16.0,0.0,3.0
