Index,AOC,TFMV,OCAP,DA,PD,TA,L,B,AT,R,WCC,A,AA,M
AOC,12174.0,4429.0,2637.0,4248.0,5584.0,12529.0,5700.0,2617.0,3127.0,703.0,684.0,71.0,1348.0,19.0
TFMV,4332.0,2694.0,1255.0,1421.0,2717.0,6883.0,2651.0,1503.0,1655.0,366.0,428.0,27.0,648.0,9.0
OCAP,2693.0,1079.0,743.0,1146.0,1399.0,2827.0,1563.0,737.0,756.0,221.0,143.0,27.0,354.0,0.0
DA,4131.0,1454.0,1125.0,2200.0,1942.0,4564.0,2161.0,1007.0,1186.0,333.0,247.0,10.0,572.0,6.0
PD,5585.0,2666.0,1351.0,2106.0,3248.0,6902.0,3254.0,1538.0,1753.0,393.0,395.0,50.0,634.0,5.0
TA,12797.0,6883.0,3134.0,4591.0,7095.0,21722.0,8040.0,4027.0,4403.0,843.0,1110.0,51.0,1347.0,13.0
L,5464.0,2769.0,1362.0,2246.0,3064.0,8391.0,4524.0,1547.0,1891.0,393.0,488.0,46.0,712.0,12.0
B,2601.0,1691.0,592.0,805.0,1557.0,4055.0,1600.0,1018.0,1033.0,193.0,204.0,19.0,294.0,1.0
AT,3231.0,1635.0,802.0,1119.0,1828.0,4487.0,1798.0,898.0,1442.0,178.0,322.0,15.0,353.0,11.0
R,688.0,333.0,208.0,254.0,393.0,972.0,367.0,183.0,227.0,55.0,37.0,10.0,62.0,3.0
WCC,764.0,411.0,150.0,271.0,352.0,1093.0,477.0,236.0,256.0,27.0,90.0,4.0,94.0,5.0
A,35.0,40.0,16.0,35.0,35.0,80.0,45.0,21.0,24.0,2.0,0.0,0.0,10.0,0.0
AA,1336.0,579.0,334.0,500.0,642.0,1512.0,703.0,283.0,367.0,81.0,92.0,3.0,237.0,12.0
M,25.0,5.0,4.0,6.0,13.0,15.0,13.0,10.0,5.0,3.0,0.0,0.0,0.0,0.0
